vhigh_high,vhigh_low,vhigh_med,vhigh_vhigh,vhigh.1_high,vhigh.1_low,vhigh.1_med,vhigh.1_vhigh,2_2,2_3,2_4,2_5more,2.1_2,2.1_4,2.1_more,small_big,small_med,small_small,low_high,low_low,low_med,unacc
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,unacc
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,unacc
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,unacc
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,unacc
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,unacc
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,unacc
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,unacc
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,unacc
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,unacc
0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,unacc
0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,unacc
0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,unacc
0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,unacc
0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,unacc
0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,unacc
0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,unacc
0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,unacc
0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,unacc
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,unacc
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,unacc
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,unacc
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,unacc
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,unacc
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,unacc
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,unacc
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,unacc
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,unacc
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,unacc
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,unacc
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,unacc
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,unacc
